"participant_virtual_id","timestamp","lat","lon"
"9999967","2019-10-21 11:01:16+00","48.7729966","2.006127"
"9999967","2019-10-21 11:01:48+00","48.7729966","2.006127"
"9999967","2019-10-21 11:02:20+00","48.7729966","2.006127"
"9999967","2019-10-21 11:02:53+00","48.7729966","2.006127"
"9999967","2019-10-21 11:03:26+00","48.7729966","2.006127"
"9999967","2019-10-21 11:03:59+00","48.7729966","2.006127"
"9999967","2019-10-21 11:04:31+00","48.7729966","2.006127"
"9999967","2019-10-21 11:05:03+00","48.7729966","2.006127"
"9999967","2019-10-21 11:05:35+00","48.7729966","2.006127"
"9999967","2019-10-21 11:06:07+00","48.7729966","2.006127"
"9999967","2019-10-21 11:06:40+00","48.7729966","2.006127"
"9999967","2019-10-21 11:07:13+00","48.7729966","2.006127"
"9999967","2019-10-21 11:07:46+00","48.7729966","2.006127"
"9999967","2019-10-21 11:08:19+00","48.7729966","2.006127"
"9999967","2019-10-21 11:08:51+00","48.7729966","2.006127"
"9999967","2019-10-21 11:09:23+00","48.7729966","2.006127"
"9999967","2019-10-21 11:09:56+00","48.7729966","2.006127"
"9999967","2019-10-21 11:10:28+00","48.7729966","2.006127"
"9999967","2019-10-21 11:11:01+00","48.7729966","2.006127"
"9999967","2019-10-21 11:12:08+00","48.7729966","2.006127"
"9999967","2019-10-21 11:12:38+00","48.7729966","2.006127"
"9999967","2019-10-21 11:13:11+00","48.7729966","2.006127"
"9999967","2019-10-21 11:13:41+00","48.7729966","2.006127"
"9999967","2019-10-21 11:14:14+00","48.7729966","2.006127"
"9999967","2019-10-21 11:14:47+00","48.7729966","2.006127"
"9999967","2019-10-21 11:15:19+00","48.7729966","2.006127"
"9999967","2019-10-21 11:15:51+00","48.7729966","2.006127"
"9999967","2019-10-21 11:16:23+00","48.7729966","2.006127"
"9999967","2019-10-21 11:16:54+00","48.7729966","2.006127"
"9999967","2019-10-21 11:17:26+00","48.7729966","2.006127"
"9999967","2019-10-21 11:17:59+00","48.7729966","2.006127"
"9999967","2019-10-21 11:18:33+00","48.7729966","2.006127"
"9999967","2019-10-21 11:19:02+00","48.7729966","2.006127"
"9999967","2019-10-21 11:19:34+00","48.7729966","2.006127"
"9999967","2019-10-21 11:20:06+00","48.7729966","2.006127"
"9999967","2019-10-21 11:20:39+00","48.7729966","2.006127"
"9999967","2019-10-21 11:21:10+00","48.7729966","2.006127"
"9999967","2019-10-21 11:21:42+00","48.7729966","2.006127"
"9999967","2019-10-21 11:22:13+00","48.7729966","2.006127"
"9999967","2019-10-21 11:22:45+00","48.7729966","2.006127"
"9999967","2019-10-21 11:23:17+00","48.7729966","2.006127"
"9999967","2019-10-21 11:23:50+00","48.7729966","2.006127"
"9999967","2019-10-21 11:24:22+00","48.7729966","2.006127"
"9999967","2019-10-21 11:24:56+00","48.7729966","2.006127"
"9999967","2019-10-21 11:25:27+00","48.7729966","2.006127"
"9999967","2019-10-21 11:25:59+00","48.7729966","2.006127"
"9999967","2019-10-21 11:26:32+00","48.7729966","2.006127"
"9999967","2019-10-21 11:27:03+00","48.7729966","2.006127"
"9999967","2019-10-21 11:27:35+00","48.7729966","2.006127"
"9999967","2019-10-21 11:28:07+00","48.7729966","2.006127"
"9999967","2019-10-21 11:28:39+00","48.7729966","2.006127"
"9999967","2019-10-21 11:34:51+00","48.7729966","2.006127"
"9999967","2019-10-21 11:35:45+00","48.7729966","2.006127"
"9999967","2019-10-21 11:52:13+00","48.771724","2.0053739"
