"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999944","2019-10-19 12:37:00+00","2","3","2","26.6","49.7","9","330","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:38:00+00","3","3","2","26.7","49.4","8","402","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:39:00+00","1","2","1","26.6","49.2","7","349","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:40:00+00","2","3","1","26.7","49.3","10","338","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:41:00+00","2","3","2","26.7","49.7","10","325","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:42:00+00","2","3","2","26.7","49.7","13","342","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:43:00+00","2","2","1","26.7","49.7","8","334","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:44:00+00","2","2","1","26.7","49.6","7","345","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:45:00+00","2","3","1","26.7","49.6","13","324","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:46:00+00","3","4","1","26.7","49.1","9","329","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:47:00+00","2","3","1","26.8","48.1","2","338","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:48:00+00","2","2","1","26.7","46.7","4","239","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:49:00+00","2","2","1","26.7","45.7","2","300","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:50:00+00","2","3","1","26.7","45.5","5","297","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:51:00+00","2","3","1","26.7","44.8","1","237","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:52:00+00","1","2","0","26.7","44.1","1","265","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:53:00+00","0","1","0","26.7","43.3","5","246","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:54:00+00","0","0","0","26.7","42.2","7","191","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:55:00+00","1","1","0","26.7","42.2","3","207","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:56:00+00","1","2","0","26.7","41.2","5","185","Domicile","Fermeture De Fenêtre"
