"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999941","2019-10-19 14:02:00+00","0","0","0","28.8","41.3","3","284",NULL,NULL
"9999941","2019-10-19 14:03:00+00","0","0","0","28.8","41.1","3","337",NULL,NULL
"9999941","2019-10-19 14:04:00+00","0","0","0","28.8","41.1","3","314",NULL,NULL
"9999941","2019-10-19 14:05:00+00","0","0","0","28.8","41.1","4","345",NULL,NULL
"9999941","2019-10-19 14:06:00+00","0","0","0","28.8","41.1","3","312",NULL,NULL
"9999941","2019-10-19 14:07:00+00","0","0","0","28.8","41.2","4","305",NULL,NULL
"9999941","2019-10-19 14:08:00+00","0","0","0","28.8","41.1","5","314",NULL,NULL
"9999941","2019-10-19 14:09:00+00","0","0","0","28.8","41.1","4","319",NULL,NULL
"9999941","2019-10-19 14:10:00+00","0","0","0","28.8","41.1","4","308",NULL,NULL
"9999941","2019-10-19 14:11:00+00","0","0","0","28.8","41.1","4","325",NULL,NULL
"9999941","2019-10-19 14:12:00+00","0","0","0","28.8","41.1","4","315",NULL,NULL
"9999941","2019-10-19 14:13:00+00","0","0","0","28.8","41","4","314",NULL,NULL
"9999941","2019-10-19 14:14:00+00","0","0","0","28.8","41","2","303",NULL,NULL
"9999941","2019-10-19 14:15:00+00","0","0","0","28.8","41","4","307",NULL,NULL
"9999941","2019-10-19 14:16:00+00","0","0","0","28.8","40.8","3","317",NULL,NULL
"9999941","2019-10-19 14:17:00+00","0","0","0","28.8","40.8","3","314",NULL,NULL
"9999941","2019-10-19 14:18:00+00","0","0","0","28.8","40.8","5","302",NULL,NULL
"9999941","2019-10-19 14:19:00+00","0","0","0","28.8","40.9","5","316",NULL,NULL
"9999941","2019-10-19 14:20:00+00","0","0","0","28.8","40.9","3","394",NULL,NULL
"9999941","2019-10-19 14:21:00+00","0","0","0","28.8","40.7","5","296",NULL,NULL
"9999941","2019-10-19 14:22:00+00","0","0","0","28.8","40.6","5","315",NULL,NULL
"9999941","2019-10-19 14:23:00+00","0","0","0","28.8","40.8","4","318",NULL,NULL
"9999941","2019-10-19 14:24:00+00","0","0","0","28.8","40.9","5","335",NULL,NULL
"9999941","2019-10-19 14:25:00+00","0","0","0","28.8","40.8","3","301",NULL,NULL
"9999941","2019-10-19 14:26:00+00","0","0","0","28.8","40.9","4","306",NULL,NULL
"9999941","2019-10-19 14:27:00+00","0","0","0","28.8","40.9","5","313",NULL,NULL
"9999941","2019-10-19 14:28:00+00","0","0","0","28.8","40.8","5","358",NULL,NULL
"9999941","2019-10-19 14:29:00+00","0","0","0","28.8","40.9","4","299",NULL,NULL
"9999941","2019-10-19 14:30:00+00","0","0","0","28.8","40.9","3","310",NULL,NULL
"9999941","2019-10-19 14:31:00+00","0","0","0","28.8","40.9","3","-81",NULL,NULL
"9999941","2019-10-19 14:32:00+00","0","0","0","28.7","34.3","0","-269",NULL,NULL
"9999941","2019-10-19 14:33:00+00","0","0","0","28.5","33.8","0","-25",NULL,NULL
"9999941","2019-10-19 14:34:00+00","0","0","0","28.2","33.7","2","68",NULL,NULL
"9999941","2019-10-19 14:35:00+00","0","0","0","27.9","34","5","198",NULL,NULL
"9999941","2019-10-19 14:36:00+00","0","0","0","27.4","34","5","363",NULL,NULL
"9999941","2019-10-19 14:37:00+00","0","0","0","27.1","34.3","9","264",NULL,NULL
"9999941","2019-10-19 14:38:00+00","0","0","0","26.6","34.9","9","381",NULL,NULL
"9999941","2019-10-19 14:39:00+00","0","0","0","26.4","35.6","11","320",NULL,NULL
"9999941","2019-10-19 14:40:00+00","1","2","0","26.2","36","8","354",NULL,NULL
"9999941","2019-10-19 14:41:00+00","0","0","0","25.8","36.3","8","440",NULL,NULL
"9999941","2019-10-19 14:42:00+00","0","0","0","25.6","36.7","12","462",NULL,NULL
"9999941","2019-10-19 14:43:00+00","0","1","0","25.3","37.3","17","529",NULL,NULL
"9999941","2019-10-19 14:44:00+00","0","1","0","25.1","37.5","5","566",NULL,NULL
"9999941","2019-10-19 14:45:00+00","0","0","0","24.9","37.7","8","510",NULL,NULL
"9999941","2019-10-19 14:46:00+00","1","1","0","24.7","38.3","10","835",NULL,NULL
"9999941","2019-10-19 14:47:00+00","0","0","0","24.6","38.6","11","832",NULL,NULL
"9999941","2019-10-19 14:48:00+00","0","1","0","24.7","40.3","17","778",NULL,NULL
"9999941","2019-10-19 14:49:00+00","0","0","0","24.8","40.1","8","666",NULL,NULL
"9999941","2019-10-19 14:50:00+00","0","0","0","24.9","40","7","594",NULL,NULL
"9999941","2019-10-19 14:51:00+00","1","1","0","25","40.2","7","566",NULL,NULL
"9999941","2019-10-19 14:52:00+00","1","1","0","25.1","40","5","530",NULL,NULL
"9999941","2019-10-19 14:53:00+00","0","0","0","25.2","40.2","3","459",NULL,NULL
"9999941","2019-10-19 14:54:00+00","0","0","0","25.3","39.5","3","439",NULL,NULL
"9999941","2019-10-19 14:55:00+00","0","0","0","25.4","39.5","3","438",NULL,NULL
"9999941","2019-10-19 14:56:00+00","1","1","0","25.5","39","4","364",NULL,NULL
"9999941","2019-10-19 14:57:00+00","1","1","0","25.7","38.4","4","403",NULL,NULL
"9999941","2019-10-19 14:58:00+00","1","1","0","25.9","38.1","3","366",NULL,NULL
"9999941","2019-10-19 14:59:00+00","0","0","0","26.2","37.3","4","428",NULL,NULL
"9999941","2019-10-19 15:00:00+00","0","1","0","26.5","37","6","471",NULL,NULL
"9999941","2019-10-19 15:01:00+00","0","0","0","26.7","36.9","9","442",NULL,NULL
"9999941","2019-10-19 15:02:00+00","0","0","0","26.6","36.7","4","373",NULL,NULL
"9999941","2019-10-19 15:03:00+00","0","0","0","26.4","36.4","6","169",NULL,NULL
"9999941","2019-10-19 15:04:00+00","0","0","0","26.3","36.4","10","660",NULL,NULL
"9999941","2019-10-19 15:05:00+00","0","0","0","26.3","36.4","3","201",NULL,NULL
"9999941","2019-10-19 15:06:00+00","0","0","0","26.1","36.7","6","403",NULL,NULL
"9999941","2019-10-19 15:07:00+00","0","0","0","26.1","37.1","6","507",NULL,NULL
"9999941","2019-10-19 15:08:00+00","0","0","0","26.1","37.4","7","655",NULL,NULL
"9999941","2019-10-19 15:09:00+00","0","0","0","26.2","37.5","7","744",NULL,NULL
"9999941","2019-10-19 15:10:00+00","0","0","0","26.3","37.6","6","705",NULL,NULL
"9999941","2019-10-19 15:11:00+00","0","1","0","26.5","37.4","5","647",NULL,NULL
"9999941","2019-10-19 15:12:00+00","0","0","0","26.7","37.7","5","717",NULL,NULL
"9999941","2019-10-19 15:13:00+00","0","0","0","26.9","37.4","4","678",NULL,NULL
"9999941","2019-10-19 15:14:00+00","0","0","0","26.9","37.2","6","536",NULL,NULL
"9999941","2019-10-19 15:15:00+00","0","0","0","27.2","37.3","5","524",NULL,NULL
"9999941","2019-10-19 15:16:00+00","0","0","0","27.6","37","5","582",NULL,NULL
"9999941","2019-10-19 15:17:00+00","0","0","0","27.9","36.7","6","529",NULL,NULL
"9999941","2019-10-19 15:18:00+00","0","0","0","28.1","36.2","6","405",NULL,NULL
"9999941","2019-10-19 15:19:00+00","0","0","0","28.2","35.8","4","322",NULL,NULL
"9999941","2019-10-19 15:20:00+00","0","0","0","28.4","35.4","5","373",NULL,NULL
"9999941","2019-10-19 15:21:00+00","0","0","0","28.4","35.1","6","362",NULL,NULL
"9999941","2019-10-19 15:22:00+00","1","1","0","28.4","34.9","5","276",NULL,NULL
"9999941","2019-10-19 15:23:00+00","1","1","0","28.3","34.6","4","337",NULL,NULL
"9999941","2019-10-19 15:24:00+00","1","1","0","28.5","35.1","5","501",NULL,NULL
"9999941","2019-10-19 15:25:00+00","1","1","0","28.1","37.9","34","680",NULL,NULL
"9999941","2019-10-19 15:26:00+00","1","1","0","27.9","40.9","21","945",NULL,NULL
"9999941","2019-10-19 15:27:00+00","1","1","0","27.8","44.9","19","566",NULL,NULL
"9999941","2019-10-19 15:28:00+00","1","1","0","27.7","43.6","17","687",NULL,NULL
"9999941","2019-10-19 15:29:00+00","1","1","0","27.6","45.1","7","636",NULL,NULL
"9999941","2019-10-19 15:30:00+00","1","1","0","27.6","44.7","4","507",NULL,NULL
"9999941","2019-10-19 15:31:00+00","2","3","1","27.5","45.2","1","601",NULL,NULL
"9999941","2019-10-19 15:32:00+00","3","4","1","27.5","46.2","7","537",NULL,NULL
"9999941","2019-10-19 15:33:00+00","1","1","0","27.5","47","31","557",NULL,NULL
"9999941","2019-10-19 15:34:00+00","2","3","1","27.5","48.2","25","676",NULL,NULL
"9999941","2019-10-19 15:35:00+00","3","3","1","27.4","48.4","4","575",NULL,NULL
"9999941","2019-10-19 15:36:00+00","5","5","2","27.4","48.2","4","583",NULL,NULL
"9999941","2019-10-19 15:37:00+00","6","6","2","27.4","48.6","3","545",NULL,NULL
"9999941","2019-10-19 15:38:00+00","4","6","2","27.4","48.6","3","551",NULL,NULL
"9999941","2019-10-19 15:39:00+00","5","6","2","27.3","48.6","3","545",NULL,NULL
"9999941","2019-10-19 15:40:00+00","4","6","2","27.3","48.8","3","492",NULL,NULL
"9999941","2019-10-19 15:41:00+00","5","6","2","27.3","48.9","2","509",NULL,NULL
"9999941","2019-10-19 15:42:00+00","6","7","2","27.2","48.9","2","463",NULL,NULL
"9999941","2019-10-19 15:43:00+00","4","4","1","27.2","48.7","1","459",NULL,NULL
"9999941","2019-10-19 15:44:00+00","4","4","2","27.1","48.7","2","453",NULL,NULL
"9999941","2019-10-19 15:45:00+00","3","4","1","27.1","49","4","463",NULL,NULL
"9999941","2019-10-19 15:46:00+00","3","4","1","27.1","48.8","3","439",NULL,NULL
"9999941","2019-10-19 15:47:00+00","3","4","1","27","48.7","2","456",NULL,NULL
"9999941","2019-10-19 15:48:00+00","4","4","2","27","48.7","2","473",NULL,NULL
"9999941","2019-10-19 15:49:00+00","4","4","1","27","48.9","4","439",NULL,NULL
"9999941","2019-10-19 15:50:00+00","3","3","1","27","48.9","3","431",NULL,NULL
"9999941","2019-10-19 15:51:00+00","4","4","1","26.9","48.8","2","437",NULL,NULL
"9999941","2019-10-19 15:52:00+00","3","3","1","26.9","48.9","3","428",NULL,NULL
"9999941","2019-10-19 15:53:00+00","3","5","1","26.9","49","5","453",NULL,NULL
"9999941","2019-10-19 15:54:00+00","2","3","1","26.9","49.2","3","485",NULL,NULL
"9999941","2019-10-19 15:55:00+00","2","3","1","26.9","49.2","3","429",NULL,NULL
"9999941","2019-10-19 15:56:00+00","3","4","1","26.8","49.2","5","448",NULL,NULL
"9999941","2019-10-19 15:57:00+00","3","3","1","26.8","49.2","3","459",NULL,NULL
"9999941","2019-10-19 15:58:00+00","3","3","1","26.8","49.2","4","451",NULL,NULL
"9999941","2019-10-19 15:59:00+00","2","3","1","26.8","49.3","3","452",NULL,NULL
"9999941","2019-10-19 16:00:00+00","2","2","1","26.8","49.2","3","413",NULL,NULL
"9999941","2019-10-19 16:01:00+00","2","2","1","26.8","49.4","6","436",NULL,NULL
"9999941","2019-10-19 16:02:00+00","2","2","1","26.8","49.5","3","436",NULL,NULL
